tipo,id,nome,arquivo_local,url_gerada
AUDIO,1369,Declaração,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Declaração.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Declaração.mp3
AUDIO_PB,1369,Declaração,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Declaração - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Declaração - PB.mp3
AUDIO,1370,Eu Vou,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Eu Vou.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Eu Vou.mp3
AUDIO_PB,1370,Eu Vou,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Eu Vou - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Eu Vou - PB.mp3
AUDIO,1371,Milagres,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Milagres.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Milagres.mp3
AUDIO_PB,1371,Milagres,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Milagres - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Milagres - PB.mp3
AUDIO,1372,Em Tua Presença,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Em Tua Presença.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Em Tua Presença.mp3
AUDIO_PB,1372,Em Tua Presença,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Em Tua Presença - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Em Tua Presença - PB.mp3
AUDIO,1373,Restaurado,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Restaurado.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Restaurado.mp3
AUDIO_PB,1373,Restaurado,C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Restaurado - PB.mp3,file:///C:/Users/Tiago Neves/AppData/Roaming/LouvorJA/config/musicas/Restaurado - PB.mp3
